time, Acceleration x, Acceleration y, acceleration z, distance
1780,0.00,0.00,0.00,24.90
1796,0.00,0.00,0.00,27.46
1811,0.00,0.00,0.00,27.44
1826,0.00,0.00,0.00,27.46
1842,0.00,0.00,0.00,27.46
1857,0.00,0.00,0.00,27.46
1872,0.00,0.00,0.00,27.46
1888,0.00,0.00,0.00,27.46
1903,0.00,0.00,0.00,27.44
1918,0.00,0.00,0.00,27.44
1934,0.00,0.00,0.00,27.46
1949,0.00,0.00,0.00,27.46
1965,0.00,0.00,0.00,27.46
1980,0.00,0.00,0.00,27.44
1995,0.00,0.00,0.00,27.46
2011,0.00,0.00,0.00,27.46
2026,0.00,0.00,0.00,27.44
2041,0.00,0.00,0.00,27.46
2057,0.00,0.00,0.00,27.46
2072,0.00,0.00,0.00,27.44
2087,0.00,0.00,0.00,27.46
2103,0.00,0.00,0.00,27.46
2118,0.00,0.00,0.00,27.44
2134,0.00,0.00,0.00,27.44
2149,0.00,0.00,0.00,27.46
2164,0.00,0.00,0.00,27.46
2180,0.00,0.00,0.00,27.46
2195,0.00,0.00,0.00,27.44
2210,0.00,0.00,0.00,27.44
2226,0.00,0.00,0.00,27.46
2242,0.00,0.00,0.00,27.44
2259,0.00,0.00,0.00,27.44
2276,-0.14,-0.65,9.89,27.55
2294,-0.14,-0.64,9.32,27.46
2312,-0.15,-0.61,9.42,27.44
2328,-0.16,-0.65,9.42,27.46
2345,-0.13,-0.61,9.41,27.46
2361,-0.14,-0.64,9.43,27.44
2377,-0.13,-0.63,9.43,27.56
2396,-0.14,-0.64,9.40,27.56
2411,-0.14,-0.62,9.43,27.46
2427,-0.16,-0.61,9.45,27.44
2445,-0.15,-0.65,9.41,27.55
2461,-0.15,-0.66,9.44,27.44
2478,-0.15,-0.65,9.41,27.46
2495,-0.14,-0.60,9.41,27.55
2511,-0.15,-0.62,9.44,27.49
2528,-0.14,-0.63,9.43,27.44
2545,-0.16,-0.63,9.41,27.56
2562,-0.12,-0.63,9.43,27.46
2578,-0.14,-0.62,9.44,27.56
2596,-0.14,-0.62,9.43,27.56
2612,-0.14,-0.62,9.42,27.46
2628,-0.14,-0.61,9.41,27.55
2647,-0.15,-0.64,9.44,27.55
2662,-0.15,-0.61,9.42,27.44
2678,-0.15,-0.62,9.42,27.55
2697,-0.14,-0.63,9.41,27.46
2712,-0.16,-0.61,9.44,27.44
2729,-0.17,-0.64,9.43,27.56
2747,-0.16,-0.62,9.40,27.46
2762,-0.14,-0.63,9.44,27.46
2780,-0.14,-0.62,9.44,27.46
2797,-0.15,-0.65,9.43,27.44
2812,-0.13,-0.63,9.44,27.55
2830,-0.14,-0.64,9.44,27.46
2847,-0.15,-0.64,9.41,27.55
2863,-0.14,-0.65,9.42,27.55
2880,-0.15,-0.65,9.42,27.46
2897,-0.16,-0.64,9.43,27.56
2914,-0.14,-0.64,9.45,27.55
2930,-0.14,-0.62,9.46,27.46
2948,-0.14,-0.63,9.40,27.56
2964,-0.14,-0.64,9.46,27.55
2980,-0.17,-0.64,9.45,27.56
2999,-0.15,-0.65,9.40,27.56
3014,-0.14,-0.59,9.42,27.46
3031,-0.15,-0.63,9.44,27.56
3049,-0.14,-0.63,9.44,27.46
3064,-0.13,-0.63,9.44,27.46
3082,-0.14,-0.62,9.44,27.56
3099,-0.14,-0.62,9.41,27.46
3115,-0.14,-0.61,9.44,27.44
3132,-0.14,-0.62,9.43,27.46
3149,-0.14,-0.60,9.41,27.44
3165,-0.15,-0.63,9.44,27.56
