time, Acceleration x, Acceleration y, acceleration z, distance
1780,0.00,0.00,0.00,31.77
1796,0.00,0.00,0.00,34.86
1812,0.00,0.00,0.00,34.86
1827,0.00,0.00,0.00,34.84
1844,0.00,0.00,0.00,34.86
1859,0.00,0.00,0.00,34.84
1874,0.00,0.00,0.00,34.84
1891,0.00,0.00,0.00,34.86
1906,0.00,0.00,0.00,34.84
1923,0.00,0.00,0.00,34.86
1938,0.00,0.00,0.00,34.86
1953,0.00,0.00,0.00,34.86
1970,0.00,0.00,0.00,34.84
1985,0.00,0.00,0.00,34.86
2001,0.00,0.00,0.00,34.84
2017,0.00,0.00,0.00,34.86
2033,0.00,0.00,0.00,34.86
2049,0.00,0.00,0.00,34.84
2064,0.00,0.00,0.00,34.86
2080,0.00,0.00,0.00,34.86
2096,0.00,0.00,0.00,34.86
2112,0.00,0.00,0.00,34.86
2127,0.00,0.00,0.00,34.86
2143,0.00,0.00,0.00,34.84
2159,0.00,0.00,0.00,34.84
2174,0.00,0.00,0.00,34.86
2191,0.00,0.00,0.00,34.86
2206,0.00,0.00,0.00,34.86
2223,0.00,0.00,0.00,34.86
2238,0.00,0.00,0.00,34.84
2253,0.00,0.00,0.00,34.86
2270,0.00,0.00,0.00,34.86
2287,-0.10,-0.70,9.93,34.86
2305,-0.09,-0.71,9.42,34.91
2322,-0.11,-0.81,9.42,34.86
2338,-0.12,-0.86,9.41,34.86
2356,-0.16,-0.90,9.39,34.86
2374,-0.15,-0.91,9.44,34.86
2390,-0.10,-0.76,9.42,34.84
2408,-0.10,-0.72,9.44,34.84
2425,-0.10,-0.63,9.40,34.86
2442,-0.12,-0.67,9.41,34.86
2459,-0.10,-0.84,9.39,34.86
2477,-0.10,-0.89,9.45,34.86
2494,-0.13,-0.87,9.40,34.86
2510,-0.16,-0.83,9.44,34.86
2528,-0.17,-0.78,9.40,34.86
2546,-0.09,-0.74,9.46,34.86
2563,-0.04,-0.71,9.43,34.86
2579,-0.15,-0.75,9.45,34.86
2597,-0.15,-0.79,9.37,34.86
2614,-0.18,-0.85,9.42,34.86
2630,-0.10,-0.86,9.44,34.84
2649,-0.08,-0.84,9.49,34.91
2664,-0.11,-0.78,9.41,34.84
2680,-0.16,-0.73,9.36,34.84
2699,-0.13,-0.71,9.37,34.86
2714,-0.03,-0.75,9.49,34.86
2731,-0.08,-0.82,9.50,34.86
2749,-0.17,-0.85,9.36,34.86
2765,-0.22,-0.85,9.37,34.86
2781,-0.10,-0.78,9.42,34.86
2799,-0.07,-0.76,9.49,34.86
2816,-0.06,-0.76,9.44,34.84
2832,-0.13,-0.76,9.40,34.84
2849,-0.14,-0.80,9.35,34.86
2866,-0.10,-0.82,9.48,34.86
2882,-0.10,-0.76,9.48,34.86
2900,-0.14,-0.78,9.44,34.84
2916,-0.20,-0.80,9.36,34.86
2932,-0.10,-0.78,9.35,34.86
2951,-0.08,-0.80,9.40,34.86
2966,-0.03,-0.76,9.46,34.84
2982,-0.14,-0.79,9.49,34.86
3001,-0.21,-0.78,9.32,34.86
3016,-0.23,-0.83,9.43,34.86
3033,-0.06,-0.78,9.45,34.86
3051,-0.13,-0.78,9.51,34.86
3067,-0.09,-1.03,8.99,34.84
3083,-0.29,-0.89,9.84,34.86
3101,0.32,-0.54,9.20,34.84
3118,0.22,-0.70,9.97,34.84
3133,-0.41,-0.24,9.51,34.86
3151,-0.62,-0.42,9.43,34.86
3168,-0.42,-0.98,9.45,34.84
3184,-0.02,-1.21,9.34,34.87
3202,-0.01,-1.24,9.30,34.79
3218,-0.37,-1.04,9.28,34.77
3234,-0.28,-0.91,9.66,34.72
3252,-0.29,-0.89,9.75,34.72
3268,-0.31,-0.70,9.63,34.63
3284,-0.38,-0.57,9.36,34.65
3303,-0.37,-0.65,9.48,34.58
3318,-0.47,-0.72,9.48,34.50
3335,-1.20,-0.74,9.27,34.38
3353,-1.09,-0.57,9.48,34.24
3368,-0.63,-0.55,9.62,34.08
3385,-0.36,-1.02,9.51,33.95
3403,-0.31,-1.22,9.50,33.91
3419,-0.82,-1.40,9.44,33.60
3435,-0.83,-1.26,9.55,33.40
3453,-0.76,-1.00,9.54,33.12
3469,-0.79,-0.65,9.41,32.92
3485,-0.67,-0.33,9.26,32.64
3504,-0.80,-0.30,9.39,32.35
3519,-1.28,-0.37,9.44,32.01
3535,-1.36,-0.87,9.30,31.66
3554,-1.25,-1.02,9.24,31.25
3569,-1.04,-1.24,9.26,30.84
3586,-0.82,-1.43,9.40,30.43
3603,-0.88,-1.52,9.23,30.05
3619,-0.76,-1.41,9.14,29.45
3636,-0.45,-0.97,9.17,29.04
3653,-0.31,-0.78,9.17,28.59
3670,0.41,-0.48,9.11,28.18
3686,0.71,-0.65,9.21,27.67
3703,0.96,-0.33,9.27,27.25
3719,1.01,-0.41,9.41,27.01
3736,1.03,-0.65,9.38,26.55
3753,1.14,-0.79,9.39,26.28
3769,1.45,-0.91,9.61,26.07
3785,1.42,-0.97,9.67,25.90
3803,1.39,-0.94,9.64,25.76
3819,1.36,-0.78,9.65,25.62
3834,1.29,-0.77,9.69,25.45
3850,0.59,-0.74,9.54,25.49
3867,0.32,-0.73,9.39,25.31
3883,0.08,-0.77,9.50,25.25
3898,0.02,-0.88,9.49,25.18
3915,-0.34,-0.93,9.39,25.14
3931,-0.77,-0.87,9.25,25.07
3947,-1.20,-0.66,9.19,24.94
3964,-1.26,-0.55,9.22,24.73
3980,-1.56,-0.33,9.05,24.51
3997,-1.69,-0.25,9.03,24.15
4015,-1.71,-0.26,8.97,23.79
4030,-1.54,-0.59,9.03,23.44
4047,-1.55,-0.81,9.03,23.13
4065,-1.25,-1.36,8.90,22.72
4080,-0.95,-1.61,9.01,22.31
4098,-0.70,-1.59,9.06,21.88
4114,-0.58,-1.35,9.08,21.40
4129,-0.27,-0.74,9.01,20.92
4147,-0.19,-0.52,9.11,20.51
4163,-0.05,-0.26,9.21,20.03
4178,0.00,-0.27,9.11,19.60
4196,0.39,-0.39,9.13,19.12
4211,0.77,-0.46,9.51,18.79
4226,0.76,-0.57,9.69,18.43
4241,0.75,-0.82,9.61,17.95
4258,0.60,-0.86,9.50,17.47
4273,0.66,-0.91,9.63,17.47
4289,0.78,-0.71,9.71,17.20
4306,1.16,-0.42,9.74,16.63
4321,1.80,-0.30,10.13,16.72
4338,2.73,-0.19,10.79,16.70
4355,3.48,-0.35,11.32,16.70
4370,3.24,-0.66,13.23,16.70
4385,2.16,-0.94,13.44,16.51
4401,-1.42,-0.98,8.43,16.56
4417,-1.96,-0.81,7.11,16.65
4432,-2.54,-0.16,6.66,16.58
4449,-1.31,0.18,7.68,16.58
4465,0.53,0.17,10.54,16.63
4481,1.44,-0.79,11.54,16.85
4498,1.01,-1.11,10.54,17.06
4512,-0.07,-1.25,8.43,17.13
4528,-0.04,-1.40,8.54,17.06
4543,0.48,-1.54,9.86,16.99
4559,0.49,-1.35,10.09,17.33
4575,0.46,-0.93,9.68,17.54
4591,0.55,-0.38,9.68,17.40
4609,0.59,-0.30,9.89,17.88
4623,0.87,-0.06,9.98,17.81
4638,0.79,-0.14,9.91,18.29
4654,1.23,-0.56,9.79,18.24
4671,1.41,-0.76,10.03,18.74
4685,1.70,-0.83,10.22,19.27
4702,1.44,-0.74,10.18,19.68
4719,1.32,-0.62,10.21,20.17
4734,1.18,-0.65,9.92,20.58
4751,1.03,-0.60,9.79,21.06
4768,0.41,-0.67,9.39,21.69
4784,0.00,-0.66,9.30,22.17
4801,-0.18,-0.73,9.29,22.62
4817,-0.07,-0.92,9.32,23.10
4833,-0.07,-0.88,9.55,23.65
4850,-0.23,-0.65,8.82,24.20
4866,-0.45,-0.54,8.21,24.70
4881,-0.44,-0.53,8.04,25.28
4897,-0.58,-0.51,8.02,25.83
4914,-0.67,-0.87,9.25,26.21
4929,-0.76,-1.08,9.44,26.69
4944,-0.63,-1.16,9.43,27.22
4963,-0.73,-1.06,9.22,27.77
4978,-0.88,-1.09,8.49,28.08
4995,-1.12,-1.24,9.01,28.56
5012,-0.96,-1.37,9.40,29.04
5028,-0.91,-1.37,9.21,29.48
5045,-0.89,-1.23,9.04,29.81
5062,-0.96,-1.20,9.13,30.22
5079,-1.02,-0.95,9.34,30.55
5095,-1.07,-0.81,9.19,30.91
5113,-1.01,-0.80,9.19,31.36
5129,-0.62,-0.79,9.36,31.60
5145,-0.57,-0.84,9.51,31.89
5164,-0.52,-0.84,9.49,32.21
5180,-0.36,-0.81,9.13,32.68
5196,-0.21,-0.83,9.21,32.85
5214,-0.21,-0.83,9.31,33.26
5230,-0.09,-0.92,9.37,33.53
5246,-0.11,-0.93,9.22,33.88
5264,-0.13,-0.97,9.20,34.29
5280,-0.07,-0.93,9.27,34.63
5297,0.20,-0.92,9.27,35.05
5315,0.29,-0.94,9.20,35.47
5330,0.51,-0.93,9.09,35.89
5348,0.42,-0.97,9.14,36.26
5365,0.41,-0.95,9.17,36.85
5382,0.19,-0.97,9.12,37.33
5398,-0.31,-0.94,9.13,37.81
5416,-0.39,-0.91,9.17,38.37
5433,-0.42,-0.80,9.50,38.86
5449,-0.58,-0.50,9.36,39.16
5467,-0.73,-0.35,9.23,39.75
5483,-1.24,0.26,9.25,40.18
5499,-1.33,0.42,9.34,40.59
5518,-1.38,0.31,9.31,40.91
5534,-1.50,-0.18,9.29,41.24
5551,-1.67,-0.48,9.62,41.62
5568,-1.62,-0.46,9.69,41.89
5584,-1.65,-0.42,9.63,42.17
5601,-1.35,-0.41,9.66,42.37
5619,-0.86,-0.49,9.51,42.48
5636,-0.79,-0.53,9.42,42.70
5652,-0.67,-0.56,9.36,42.96
5669,-0.72,-0.70,9.45,43.11
5686,-1.01,-0.84,9.51,43.40
5703,-1.38,-1.58,9.70,43.56
5720,-1.14,-2.61,9.95,43.69
5737,-1.00,-2.68,9.94,43.76
5753,-0.85,-2.00,9.44,43.90
5771,-0.88,-1.15,9.45,43.87
5787,-1.02,-0.92,9.50,43.94
5805,-0.80,-0.37,9.75,44.11
5821,-1.09,-0.33,9.51,44.18
5839,-1.20,-0.38,9.50,44.18
5859,-1.37,-0.71,9.70,44.18
5877,-1.40,-1.31,9.52,44.24
5894,-1.03,-1.37,9.07,44.00
5911,-0.78,-1.08,9.38,43.94
5929,-0.72,-0.84,9.08,43.97
5946,-0.67,-0.88,9.64,43.90
5963,-1.57,-0.67,8.25,43.76
5981,-1.80,-0.88,8.94,43.69
5998,-1.58,-1.02,8.77,43.56
6014,0.09,-0.73,10.63,43.39
6032,0.57,-0.44,11.85,43.25
6048,0.15,-0.31,11.01,43.15
6066,-0.77,-0.17,8.74,42.94
6082,-0.03,-1.07,9.53,42.85
6099,-0.12,-1.35,10.00,42.73
6117,-1.21,-1.58,9.47,42.44
6133,-1.30,-1.31,9.45,42.13
6150,-0.74,-1.01,9.79,42.03
6167,-0.71,-1.01,9.75,41.69
6183,-0.72,-1.31,9.66,41.48
6201,-0.37,-1.39,9.68,41.10
6218,0.03,-1.41,9.49,41.00
6235,-0.13,-1.15,9.37,40.66
6252,-0.62,-0.84,9.48,40.26
6270,-0.96,-0.41,9.68,39.94
6287,-0.71,-0.44,9.81,39.58
6303,-0.36,-0.79,9.54,39.27
6322,-0.53,-1.15,9.21,38.92
6338,-0.93,-1.08,9.21,38.51
6354,-1.31,-0.96,9.73,38.10
6373,-1.49,-0.83,9.75,37.50
6388,-1.53,-0.82,9.50,37.12
6405,-1.30,-0.91,9.17,36.57
6423,-1.15,-1.01,9.22,36.02
6439,-0.95,-1.11,9.24,35.46
6455,-0.59,-1.22,9.08,34.84
6473,-0.46,-1.21,9.04,34.24
6489,-0.24,-1.07,8.97,33.67
6505,0.40,-0.93,9.00,33.12
6523,0.54,-0.81,9.00,32.68
6539,0.69,-0.66,9.01,32.08
6555,0.74,-0.63,8.98,31.60
6573,1.00,-0.59,9.11,31.11
6589,1.28,-0.52,9.19,30.70
6605,1.05,-0.51,9.22,30.36
6623,0.91,-0.50,9.22,29.95
6638,0.59,-0.63,9.33,29.78
6656,0.65,-0.79,9.37,29.31
6673,0.91,-0.88,9.36,29.06
6688,0.77,-1.03,9.39,28.80
6706,0.28,-1.13,9.39,28.66
6723,0.11,-1.04,9.38,28.28
6738,-0.27,-0.68,9.39,28.08
6755,-0.46,-0.54,9.31,27.79
6772,-0.67,-0.36,9.21,27.63
6789,-0.79,-0.46,9.26,27.29
6805,-0.86,-0.58,9.28,26.93
6823,-1.07,-0.96,9.16,26.60
6839,-1.30,-1.07,9.14,26.14
6855,-1.13,-1.06,9.09,25.76
6874,-0.86,-1.00,9.13,25.35
6889,-0.79,-0.88,9.11,24.82
6905,-0.77,-0.84,9.05,24.46
6923,-0.79,-0.67,9.00,23.86
6938,-0.59,-0.73,9.02,23.48
